Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
194,,19.5,4.982787485166879,-3.8054678882103214,5.9088201012793045,4.3962635995378685,16.414213562373096,114.0,135.5,157.0
195,,24.75,5.613615477764332,-75.87220075025064,8.067667813742869,4.069387534555713,19.846194077712557,111.0,136.5252525252525,158.0
196,,6.5,2.876813695875796,13.157248775030874,3.900749928118104,2.4777367866836517,9.431980515339465,126.0,133.92307692307693,138.0
197,,51.0,8.058239062071396,-18.43319182315759,13.382264603028574,5.739738503885921,33.89949493661167,96.0,142.65686274509804,176.0
198,,18.75,4.886025119029199,77.5486250058877,6.495178268488848,4.079568786375888,17.77817459305202,115.0,154.24,207.0
199,,12.0,3.9088200952233594,14.027276157702634,4.441051360596619,3.9761852225033514,13.242640687119284,121.0,137.64583333333334,153.0
200,,57.5,8.556358677747903,67.15855732057577,12.732506657195705,6.286032174628083,33.14213562373095,103.0,138.4,165.0
201,,4.5,2.393653682408596,90.00003218077504,2.6666666666666665,2.1081851067789197,6.414213562373095,139.0,150.05555555555554,162.0
202,,5.5,2.6462837142006137,16.692019265107415,3.2777392035215325,2.176181186545192,7.724873734152916,121.0,138.45454545454547,151.0
203,,10.5,3.656366395715726,-87.43114178406314,4.898682300541158,2.7177438571383634,11.121320343559642,118.0,146.16666666666666,165.0
204,,7.5,3.0901936161855166,-87.986908931954,3.8824164901871296,2.4922453011626873,9.414213562373096,123.0,150.3,177.0
205,,6.25,2.8209479177387813,-83.05404602853767,3.7715042080538694,2.0883859817169705,8.535533905932738,137.0,150.96,160.0
